"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2045,"Vint_2045","Electricity Consumption by Sector (TWh)",853.434724795385
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2050,"Vint_2050","Electricity Consumption by Sector (TWh)",873.190112965806
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2055,"Vint_2055","Electricity Consumption by Sector (TWh)",805.316006338048
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2060,"Vint_2060","Electricity Consumption by Sector (TWh)",781.054139046403
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2065,"Vint_2065","Electricity Consumption by Sector (TWh)",756.339602127784
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2070,"Vint_2070","Electricity Consumption by Sector (TWh)",738.349067019728
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2075,"Vint_2075","Electricity Consumption by Sector (TWh)",718.397834024172
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2080,"Vint_2080","Electricity Consumption by Sector (TWh)",695.649201830755
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2085,"Vint_2085","Electricity Consumption by Sector (TWh)",670.97743452795
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2090,"Vint_2090","Electricity Consumption by Sector (TWh)",636.714489115588
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2095,"Vint_2095","Electricity Consumption by Sector (TWh)",600.195101521088
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2100,"Vint_2100","Electricity Consumption by Sector (TWh)",564.996915923616
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",1975,"Vint_1975","Final Electricity by Fuel (TWh)",11.5880040277779
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",1990,"Vint_1990","Final Electricity by Fuel (TWh)",93.3824154666674
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",2005,"Vint_2005","Final Electricity by Fuel (TWh)",352.566604350003
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",2010,"Vint_2010","Final Electricity by Fuel (TWh)",447.032199702781
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",2015,"Vint_2015","Final Electricity by Fuel (TWh)",491.124633111115
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",2020,"Vint_2020","Final Electricity by Fuel (TWh)",533.652647491671
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",2025,"Vint_2025","Final Electricity by Fuel (TWh)",550.67397835556
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",2030,"Vint_2030","Final Electricity by Fuel (TWh)",606.349362300236
"dac_ssp2_with_cstorage_revert","South Korea","South Korea","elecFinalByFuelTWh","Year",2035,"Vint_2035","Final Electricity by Fuel (TWh)",671.321484347845
