"scenario","region","subRegion","param","xLabel","x","vintage","units","value"
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2025,"Vint_2025","Electricity Consumption by Sector (TWh)",582.505560422227
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2030,"Vint_2030","Electricity Consumption by Sector (TWh)",639.058268845561
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2035,"Vint_2035","Electricity Consumption by Sector (TWh)",688.951108697194
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2040,"Vint_2040","Electricity Consumption by Sector (TWh)",727.09670860245
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2045,"Vint_2045","Electricity Consumption by Sector (TWh)",743.406119949173
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2050,"Vint_2050","Electricity Consumption by Sector (TWh)",744.740701225006
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2055,"Vint_2055","Electricity Consumption by Sector (TWh)",738.254656063895
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2060,"Vint_2060","Electricity Consumption by Sector (TWh)",727.20919388445
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2065,"Vint_2065","Electricity Consumption by Sector (TWh)",713.277827132506
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2070,"Vint_2070","Electricity Consumption by Sector (TWh)",696.992822097228
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2075,"Vint_2075","Electricity Consumption by Sector (TWh)",677.031822747783
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2080,"Vint_2080","Electricity Consumption by Sector (TWh)",654.426483964089
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2085,"Vint_2085","Electricity Consumption by Sector (TWh)",630.462986871727
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2090,"Vint_2090","Electricity Consumption by Sector (TWh)",605.374149503588
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2095,"Vint_2095","Electricity Consumption by Sector (TWh)",580.446614992144
"Reference","South Korea","South Korea","elecConsumByDemandSectorTWh","Year",2100,"Vint_2100","Electricity Consumption by Sector (TWh)",555.63834892056
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",1975,"Vint_1975","Final Electricity by Fuel (TWh)",11.5880040277779
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",1990,"Vint_1990","Final Electricity by Fuel (TWh)",93.3824154666674
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2005,"Vint_2005","Final Electricity by Fuel (TWh)",352.566604350003
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2010,"Vint_2010","Final Electricity by Fuel (TWh)",447.032199702781
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2015,"Vint_2015","Final Electricity by Fuel (TWh)",491.124633111115
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2020,"Vint_2020","Final Electricity by Fuel (TWh)",519.592683000004
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2025,"Vint_2025","Final Electricity by Fuel (TWh)",563.124814275004
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2030,"Vint_2030","Final Electricity by Fuel (TWh)",606.925559338894
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2035,"Vint_2035","Final Electricity by Fuel (TWh)",646.113152058339
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2040,"Vint_2040","Final Electricity by Fuel (TWh)",676.323436447228
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2045,"Vint_2045","Final Electricity by Fuel (TWh)",689.135648458339
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2050,"Vint_2050","Final Electricity by Fuel (TWh)",688.42135914445
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2055,"Vint_2055","Final Electricity by Fuel (TWh)",679.137303225005
"Reference","South Korea","South Korea","elecFinalByFuelTWh","Year",2060,"Vint_2060","Final Electricity by Fuel (TWh)",663.981924486116
